Rank,,Combined 20-24
323,"American University Business Law Review",4.89
324,"Iowa Law Review Online [online]",4.89
325,"Indiana Law Journal Supplement [online]",4.84
326,"Gonzaga Law Review",4.82
327,"Belmont Law Review",4.80
328,"Campbell Law Review",4.75
329,"New York Law School Law Review",4.73
330,"Journal of Law and Policy",4.71
331,"Law and Human Behavior",4.64
332,"Tulsa Law Review",4.62
333,"Vanderbilt Law Review En Banc [online]",4.61
334,"Minnesota Journal of Law, Science & Technology",4.55
335,"University of San Francisco Law Review",4.55
336,"Georgetown Journal of International Law",4.54
337,"Connecticut Public Interest Law Journal",4.51
338,"Harvard Latin American Law Review",4.50
339,"Idaho Law Review",4.50
340,"Journal of Health Care Law & Policy",4.44
341,"University of Memphis Law Review",4.38
342,"Southern Illinois University Law Journal",4.35
343,"Wake Forest Journal of Law and Policy",4.34
344,"Family Court Review",4.30
345,"SMU Science and Technology Law Review",4.28
346,"Food and Drug Law Journal",4.27
347,"South Dakota Law Review",4.25
348,"William & Mary Law Review Online [online]",4.24
349,"Environmental Law Reporter",4.23
350,"Indiana Health Law Review",4.22
351,"Federal Courts Law Review",4.21
352,"Columbia Journal of Law and Social Problems",4.15
353,"Marquette Sports Law Review",4.15
354,"Case Western Reserve Journal of International Law",4.10
355,"Minnesota Journal of Law & Inequality",4.10
356,"Urban Lawyer",4.08
357,"Yale Journal of Law & the Humanities",4.08
358,"Oxford Journal of Legal Studies",4.04
359,"Santa Clara Journal of International Law",4.04
360,"University of Detroit Mercy Law Review",4.04
361,"Albany Law Journal of Science & Technology",4.02
362,"University of Toledo Law Review",4.02
363,"Touro Law Review",3.98
364,"Northern Illinois University Law Review",3.97
365,"Suffolk University Law Review",3.94
366,"ABA Journal of Labor & Employment Law",3.91
367,"Journal of Law & Education",3.90
368,"UC Davis Business Law Journal [online]",3.87
369,"Elder Law Journal",3.85
370,"Journal of Business & Technology Law",3.83
371,"Washington Law Review Online [online]",3.82
372,"Kansas Journal of Law & Public Policy",3.80
373,"Energy Law Journal",3.79
374,"American University International Law Review",3.77
375,"Law & Ethics of Human Rights",3.77
376,"Capital University Law Review",3.76
377,"Mercer Law Review",3.73
378,"Psychology, Public Policy, and Law",3.73
379,"Regent University Law Review",3.73
380,"UCLA Entertainment Law Review [online]",3.69
381,"Harvard Human Rights Journal",3.68
382,"Journal of Legislation",3.62
383,"Review of Litigation",3.62
384,"Regulation & Governance",3.59
385,"Journal of Law, Economics and Organization",3.53
386,"International and Comparative Law Quarterly",3.48
387,"Delaware Journal of Corporate Law",3.42
388,"Creighton Law Review",3.41
389,"World Trade Review",3.41
390,"Law and Psychology Review",3.35
391,"Cardozo International & Comparative Law Review",3.34
