Rank,,Combined 20-24
NR,"Securities Regulation Law Journal",NR
NR,"Seton Hall Circuit Review",NR
NR,"Seton Hall Legislative Journal",NR
NR,"Singapore Academy of Law Journal",NR
NR,"Singapore Journal of Legal Studies",NR
NR,"Singapore Law Review",NR
NR,"Slovenian Law Review",NR
NR,"Social & Legal Studies",NR
NR,"South African Journal of Bioethics and Law [online]",NR
NR,"South African Journal of Criminal Justice",NR
NR,"South African Journal on Human Rights",NR
NR,"South African Law Journal",NR
NR,"South African Mercantile Law Journal",NR
NR,"South African Yearbook of International Law",NR
NR,"South Carolina Journal of International Law and Business",NR
NR,"South Texas Law Review",NR
NR,"Southern California Review of Law and Social Justice",NR
NR,"Southern Cross University Law Review",NR
NR,"Southern Journal of Business and Ethics",NR
NR,"Southern Journal of Policy and Justice",NR
NR,"Southern Law Journal",NR
NR,"Southern University Law Review",NR
NR,"Southwestern Journal of International Law",NR
NR,"Spanish Yearbook of International Law",NR
NR,"Sport and the Law Journal",NR
NR,"Sports and Entertainment Law Journal",NR
NR,"Sports Law eJournal [online]",NR
NR,"Sports Lawyers Journal",NR
NR,"St. Louis University Public Law Review",NR
NR,"St. Mary’s Journal on Legal Malpractice & Ethics",NR
NR,"St. Thomas Law Review",NR
NR,"Stanford Environmental Law Journal",NR
NR,"Statute Law Review",NR
NR,"Stellenbosch Law Review",NR
NR,"Student Lawyer",NR
NR,"Studies in Law, Politics, and Society",NR
NR,"Suffolk Journal of Trial & Appellate Advocacy",NR
NR,"Suffolk Transnational Law Review",NR
NR,"Supra: Online Companion to the Mississippi Law Journal [online]",NR
NR,"Supreme Court Law Review",NR
NR,"SUR - International Journal on Human Rights",NR
NR,"Sustainable Development Law & Policy",NR
NR,"Swedish Studies in European Law",NR
NR,"Sydney Law Review",NR
NR,"Syracuse Journal of International Law and Commerce",NR
NR,"Syracuse Journal of Science and Technology Law [online]",NR
NR,"Tax Adviser",NR
NR,"Tax Management Compensation Planning Journal",NR
NR,"Tax Management Estates, Gifts and Trusts Journal",NR
NR,"Tax Management International Journal",NR
NR,"Tax Management Memorandum",NR
NR,"Tax Management Real Estate Journal",NR
NR,"Tax Notes International",NR
NR,"Tax Notes State",NR
NR,"Taxation of Exempts",NR
NR,"Taxes - The Tax Magazine",NR
NR,"Temple International and Comparative Law Journal",NR
NR,"Tennessee Journal of Law & Policy",NR
NR,"Texas A&M Journal of Property Law",NR
NR,"Texas Environmental Law Journal",NR
NR,"Texas Hispanic Journal of Law and Policy",NR
NR,"Texas International Law Journal",NR
NR,"Texas Journal of Business Law",NR
NR,"Texas Journal of Oil, Gas, and Energy Law",NR
NR,"Texas Journal of Women, Gender, and the Law",NR
NR,"Texas Journal on Civil Liberties & Civil Rights",NR
NR,"Texas Review of Entertainment & Sports Law",NR
NR,"Theoretical Criminology",NR
NR,"Theory and Practice of Legislation",NR
NR,"Thomas Jefferson Law Review",NR
NR,"Thomas M. Cooley Law Review",NR
NR,"Thurgood Marshall Law Review",NR
NR,"Tilburg Law Review",NR
NR,"Tort Law Review",NR
NR,"Tort Trial & Insurance Practice Law Journal",NR
NR,"Torts Law Journal",NR
NR,"Trademark Reporter",NR
NR,"Transactions: The Tennessee Journal of Business Law",NR
NR,"Transnational Environmental Law",NR
NR,"Transnational Law & Contemporary Problems",NR
NR,"Transnational Legal Theory",NR
NR,"Transportation Law Journal",NR
NR,"Trends in Organized Crime",NR
NR,"Tribal Law Journal [online]",NR
NR,"Trinity College Law Review",NR
NR,"Trusts & Trustees",NR
NR,"Tsinghua China Law Review",NR
NR,"Tulane Environmental Law Journal",NR
NR,"Tulane European and Civil Law Forum",NR
NR,"Tulane Journal of International and Comparative Law",NR
NR,"Tulane Journal of Law & Sexuality",NR
NR,"Tulane Journal of Technology & Intellectual Property",NR
NR,"Tulane Maritime Law Journal",NR
NR,"UC Davis Journal of International Law & Policy",NR
NR,"UC Davis Social Justice Law Review",NR
NR,"UC Law  SF Communications and Entertainment Journal",NR
NR,"UC Law Environmental Journal ",NR
NR,"UC Law Journal of Racial and Economic Justice",NR
NR,"UC Law Science & Technology Journal",NR
NR,"UC Law SF International Law Review",NR
NR,"UCL Journal of Law and Jurisprudence [online]",NR
NR,"UCLA Asian Pacific American Law Journal",NR
NR,"UCLA Journal of Environmental Law & Policy",NR
NR,"UCLA Journal of International Law and Foreign Affairs",NR
NR,"UCLA Journal of Islamic and Near Eastern Law",NR
NR,"UCLA Journal of Law and Technology [online]",NR
NR,"UCLA Pacific Basin Law Journal",NR
NR,"UCLA Women's Law Journal",NR
NR,"UIC Review of Intellectual Property Law",NR
NR,"Unbound: Harvard Journal of the Legal Left [online]",NR
NR,"Uniform Commercial Code Law Journal",NR
NR,"Uniform Law Review",NR
NR,"University College Dublin Law Review",NR
NR,"University of Arkansas at Little Rock Law Review",NR
NR,"University of Baltimore Journal of International Law",NR
NR,"University of Baltimore Journal of Land and Development",NR
NR,"University of Baltimore Law Forum",NR
NR,"University of British Columbia Law Review",NR
NR,"University of Dayton Law Review",NR
NR,"University of Denver Criminal Law Review",NR
NR,"University of Denver Water Law Review",NR
NR,"University of La Verne Law Review",NR
NR,"University of Maryland Law Journal of Race, Religion, Gender & Class",NR
NR,"University of Massachusetts Law Review",NR
NR,"University of Miami Business Law Review [online]",NR
NR,"University of Miami Inter-American Law Review",NR
NR,"University of Miami International and Comparative Law Review",NR
NR,"University of Miami Race & Social Justice Law Review",NR
NR,"University of New Brunswick Law Journal",NR
NR,"University of New Hampshire Law Review",NR
NR,"University of New South Wales Law Journal",NR
NR,"University of Notre Dame Australia Law Review",NR
NR,"University of Pennsylvania Asian Law Review",NR
NR,"University of Pennsylvania Journal of Constitutional Law Online [online]",NR
NR,"University of Puerto Rico Business Law Journal [online]",NR
NR,"University of Queensland Law Journal",NR
NR,"University of San Francisco Maritime Law Journal",NR
NR,"University of Tasmania Law Review",NR
NR,"University of the District of Columbia Law Review",NR
NR,"University of Toronto Faculty of Law Review",NR
NR,"University of Western Australia Law Review",NR
NR,"University of Western Sydney Law Review",NR
NR,"UNLV Gaming Law Journal",NR
NR,"Utrecht Journal of International and European Law [online]",NR
NR,"Utrecht Law Review [online]",NR
NR,"Vermont Journal of Environmental Law",NR
NR,"Veterans Law Review",NR
NR,"Victims & Offenders",NR
NR,"Victoria University of Wellington Law Review",NR
NR,"Vienna Journal on International Constitutional Law [online]",NR
NR,"Villanova Environmental Law Journal",NR
NR,"Virginia Environmental Law Journal",NR
NR,"Virginia Journal of Criminal Law",NR
NR,"Virginia Journal of Social Policy & the Law",NR
NR,"Virginia Sports and Entertainment Law Journal",NR
NR,"Waikato Law Review",NR
NR,"Wake Forest Journal of Business and Intellectual Property Law",NR
NR,"Wake Forest Law Review Online [online]",NR
NR,"Waseda Bulletin of Comparative Law",NR
NR,"Waseda Proceedings of Comparative Law",NR
NR,"Washington and Lee Journal of Civil Rights and Social Justice",NR
NR,"Washington Journal of Social & Environmental Justice [online]",NR
NR,"Washington University Global Studies Law Review",NR
NR,"Washington University Jurisprudence Review",NR
NR,"West Virginia Law Review Online [online]",NR
NR,"Western Legal History",NR
NR,"Western Michigan University Cooley Journal of Practical and Clinical Law",NR
NR,"Western New England Law Review",NR
NR,"Western State Law Review",NR
NR,"Widener Commonwealth Law Review",NR
NR,"Widener Journal of Law, Economics and Race [online]",NR
NR,"Willamette Journal of International Law and Dispute Resolution",NR
NR,"Willamette Law Review",NR
NR,"William & Mary Environmental Law and Policy Review",NR
NR,"William & Mary Policy Review",NR
NR,"Windsor Review of Legal and Social Issues",NR
NR,"Windsor Yearbook of Access to Justice",NR
NR,"Wisconsin International Law Journal",NR
NR,"Wisconsin Journal of Law, Gender & Society",NR
NR,"Women Lawyers Journal",NR
NR,"Women's Rights Law Reporter",NR
NR,"Workplace Review",NR
NR,"World Arbitration & Mediation Review",NR
NR,"World Competition: Law and Economics Review",NR
NR,"World Trade and Arbitration Materials",NR
NR,"Yale Journal of International Law Online [online]",NR
NR,"Yale Law & Policy Review Inter Alia [online]",NR
NR,"Yearbook of European Law",NR
NR,"Yearbook of International Disaster Law",NR
NR,"Yearbook of International Environmental Law",NR
NR,"Yearbook of International Humanitarian Law",NR
NR,"Yearbook of New Zealand Jurisprudence",NR
NR,"Yearbook on Arbitration and Mediation",NR
NR,"Youth Violence and Juvenile Justice",NR
