journal_name,url,host,platform,status,sitemap_file,wlu_mainid,wlu_rank,in_cilp,source,fixed_domain_url
Yale Journal on Regulation,https://www.yalejreg.com/bulletin/,yalejreg.com,wordpress,active,yalejreg-com.json,360,29,yes,sitemap,
Southern California Law Review,https://southerncalifornialawreview.com/,southerncalifornialawreview.com,WordPress,active,southerncalifornialawreview-com.json,1842,30,yes,sitemap,
George Washington Law Review,https://www.gwlr.org/previous-issues/,gwlr.org,WordPress,active,george_washington_law_review.json,1865,31,yes,sitemap,
George Washington Law Review,https://www.gwlr.org/,gwlr.org,WordPress,active,gwlr-org.json,1865,31,yes,sitemap,
University of Illinois Law Review,https://illinoislawreview.org/,illinoislawreview.org,wordpress,active,registry_university_of_illinois_law_review_1860_a35f1161ab.json,1860,32,yes,sitemap,
University of Illinois Law Review,https://publish.illinois.edu/lawreview/archives/,publish.illinois.edu,Custom/Unknown,,university_of_illinois_law_review.json,1860,32,yes,sitemap,
Florida Law Review,https://scholarship.law.ufl.edu/flr/sitemap.xml,scholarship.law.ufl.edu,digitalcommons,active,florida_law_review.json,1840,33,yes,sitemap,
Florida Law Review,https://www.floridalawreview.com/issues,floridalawreview.com,scholastica,todo_adapter,floridalawreview-com.json,1840,33,yes,sitemap,
Washington Law Review,https://www.law.uw.edu/wlr,law.uw.edu,wordpress,paused_other,registry_washington_law_review_1869_41331927bc.json,1869,34,yes,sitemap,
Washington Law Review,https://digitalcommons.law.uw.edu/wlr/sitemap.xml,digitalcommons.law.uw.edu,digitalcommons,active,washington_law_review.json,1869,34,yes,sitemap,
Washington Law Review,https://www.washingtonlawreview.org/,washingtonlawreview.org,wordpress,active,washingtonlawreview-org.json,1869,34,yes,sitemap,
University of Wisconsin Law Review,https://wlr.law.wisc.edu/,wlr.law.wisc.edu,WordPress,,university_of_wisconsin_law_review.json,1857,35,,sitemap,
Wisconsin Law Review,https://wlr.law.wisc.edu/,wlr.law.wisc.edu,WordPress,,wisconsin_law_review.json,1857,35,yes,sitemap,
Wisconsin Law Review,https://wlr.law.wisc.edu/,wlr.law.wisc.edu,WordPress,active,wlr-law-wisc-edu.json,1857,35,yes,sitemap,
William & Mary Law Review,https://scholarship.law.wm.edu/wmlr,scholarship.law.wm.edu,digital_commons,active,registry_william_mary_law_review_1844_1c200e6593.json,1844,36,yes,sitemap,https://scholarship.law.wm.edu/wmlr/
William & Mary Law Review,https://scholarship.law.wm.edu/wmlr/sitemap.xml,scholarship.law.wm.edu,digitalcommons,active,william_mary_law_review.json,1844,36,yes,sitemap,https://scholarship.law.wm.edu/wmlr/
North Carolina Law Review,https://northcarolinalawreview.org/,northcarolinalawreview.org,wordpress,active,north-carolina-law-review.json,1845,37,yes,sitemap,
North Carolina Law Review,https://scholarship.law.unc.edu/nclr/sitemap.xml,scholarship.law.unc.edu,digitalcommons,,north_carolina_law_review.json,1845,37,yes,sitemap,
North Carolina Law Review,https://northcarolinalawreview.org/,northcarolinalawreview.org,WordPress,active,northcarolinalawreview-org.json,1845,37,yes,sitemap,
Cardozo Law Review,https://cardozolawreview.com/,cardozolawreview.com,WordPress,,cardozo_law_review.json,158,38,yes,sitemap,
Cardozo Law Review,https://cardozolawreview.com/,cardozolawreview.com,wordpress,active,registry_cardozo_law_review_158_6775a9d505.json,158,38,yes,sitemap,
Ohio State Law Journal,https://moritzlaw.osu.edu/oslj/,moritzlaw.osu.edu,Law School Custom,,ohio_state_law_journal.json,1852,39,yes,sitemap,
Ohio State Law Journal,https://oslj.osu.edu/,oslj.osu.edu,dspace,active,oslj-osu-edu.json,1852,39,yes,sitemap,
Ohio State Law Journal,https://moritzlaw.osu.edu/study/journals/oslj-ohio-state-law-journal,moritzlaw.osu.edu,drupal,active,registry_ohio_state_law_journal_1852_2300560d65.json,1852,39,yes,sitemap,
U.C. Irvine Law Review,https://www.law.uci.edu/lawreview/,law.uci.edu,WordPress,active,law-uci-edu-lawreview.json,1755,40,,sitemap,
U.C. Irvine Law Review,https://escholarship.org/uc/ucilr,escholarship.org,eScholarship,active,registry_u_c_irvine_law_review_1755_a8727e1ea2.json,1755,40,,sitemap,
Supreme Court Review,https://www.law.uchicago.edu/supremecourt/supremecourt.html,law.uchicago.edu,drupal,paused_paywall,supreme_court_review.json,482,41,yes,sitemap,
Supreme Court Review,https://www.law.uchicago.edu/supremecourt/supremecourt.html,law.uchicago.edu,drupal,paused_paywall,www-law-uchicago-edu.json,482,41,yes,sitemap,
Emory Law Journal,https://scholarlycommons.law.emory.edu/elj/,scholarlycommons.law.emory.edu,digitalcommons,,emory_law_journal.json,1859,42,yes,sitemap,
Emory Law Journal,https://scholarlycommons.law.emory.edu/elj,scholarlycommons.law.emory.edu,digital_commons,active,registry_emory_law_journal_1859_248efaed06.json,1859,42,yes,sitemap,
UC Law Journal,https://repository.uclawsf.edu/hastings_law_journal,repository.uclawsf.edu,digital_commons,todo_adapter,registry_uc_law_journal_1854_00c1935dd1.json,1854,43,,sitemap,
UC Law Journal,https://repository.uclawsf.edu/hastings_law_journal/,repository.uclawsf.edu,digitalcommons,,uc_law_journal.json,1854,43,,sitemap,
Georgia Law Review,https://digitalcommons.law.uga.edu/glr/sitemap.xml,digitalcommons.law.uga.edu,digitalcommons,,georgia_law_review.json,1871,44,yes,sitemap,
Georgia Law Review,https://georgialawreview.org/,georgialawreview.org,wordpress,,georgialawreview-org.json,1871,44,yes,sitemap,
Georgia Law Review,https://www.georgialawreview.org/,georgialawreview.org,wordpress,active,registry_georgia_law_review_1871_261c64f124.json,1871,44,yes,sitemap,
Journal of Criminal Law and Criminology,https://jclc.law.northwestern.edu/,jclc.law.northwestern.edu,digitalcommons,active,jclc-law-northwestern-edu.json,1957,45,yes,sitemap,
Journal of Criminal Law and Criminology,https://scholarlycommons.law.northwestern.edu/jclc/sitemap.xml,scholarlycommons.law.northwestern.edu,digitalcommons,,journal_of_criminal_law_and_criminology.json,1957,45,yes,sitemap,
Journal of Criminal Law and Criminology,https://jclc.law.northwestern.edu/,jclc.law.northwestern.edu,wordpress,paused_paywall,registry_journal_of_criminal_law_and_criminology_1957_e35cf54476.json,1957,45,yes,sitemap,
Journal of Criminal Law and Criminology,https://scholarlycommons.law.northwestern.edu/jclc/,scholarlycommons.law.northwestern.edu,digitalcommons,,scholarlycommons-law-northwestern-edu.json,1957,45,yes,sitemap,
Alabama Law Review,https://law.ua.edu/lawreview/,law.ua.edu,WordPress,,alabama_law_review.json,1898,46,yes,sitemap,
Alabama Law Review,https://law.ua.edu,law.ua.edu,wordpress,,alabama_law_review_www_law_ua_edu.json,1898,46,yes,sitemap,
Alabama Law Review,https://www.law.ua.edu/alr/,law.ua.edu,WordPress,active,law-ua-edu-alr.json,1898,46,yes,sitemap,
Alabama Law Review,https://www.law.ua.edu/lawreview/,law.ua.edu,unknown,,law-ua-edu.json,1898,46,yes,sitemap,
Harvard Journal of Law & Technology,https://jolt.law.harvard.edu/volumes,jolt.law.harvard.edu,Law School Custom,,harvard_journal_of_law_technology.json,247,47,yes,sitemap,
Harvard Journal of Law & Technology,https://jolt.law.harvard.edu/,jolt.law.harvard.edu,custom,ready_for_promotion,jolt-law-harvard-edu.json,247,47,yes,sitemap,
Harvard Journal of Law & Technology,https://jolt.law.harvard.edu/,jolt.law.harvard.edu,unknown,active,registry_harvard_journal_of_law_technology_247_750c7bc619.json,247,47,yes,sitemap,
Administrative Law Review,https://administrativelawreview.org/,administrativelawreview.org,wordpress,active,administrative-law-review.json,1934,48,yes,sitemap,
Administrative Law Review,https://administrativelawreview.org/,administrativelawreview.org,WordPress,,administrative_law_review.json,1934,48,yes,sitemap,
Administrative Law Review,https://administrativelawreview.org/,administrativelawreview.org,wordpress,active,registry_administrative_law_review_1934_fc933e5c43.json,1934,48,yes,sitemap,
Arizona Law Review,https://arizonalawreview.org/,arizonalawreview.org,WordPress,,arizona_law_review.json,1850,49,yes,sitemap,
Arizona Law Review,https://arizonalawreview.org/,arizonalawreview.org,wordpress,active,arizonalawreview-org.json,1850,49,yes,sitemap,
Harvard Journal of Law & Public Policy,https://journals.law.harvard.edu/jlpp/,journals.law.harvard.edu,wordpress,,harvard_journal_of_law_and_public_policy.json,1929,50,yes,sitemap,
Harvard Journal of Law & Public Policy,https://journals.law.harvard.edu/jlpp/,journals.law.harvard.edu,WordPress,active_partial_metadata,journals-law-harvard-edu-jlpp.json,1929,50,yes,sitemap,
University of Utah Law (multiple collections),https://dc.law.utah.edu/,dc.law.utah.edu,digitalcommons,,dc-law-utah-edu.json,1897,51,,sitemap,https://dc.law.utah.edu/ulr/
Utah Law Review,https://dc.law.utah.edu/ulr,dc.law.utah.edu,digital_commons,active,registry_utah_law_review_1897_c73216337c.json,1897,51,yes,sitemap,https://dc.law.utah.edu/ulr/
Utah Law Review,https://dc.law.utah.edu/ulr/sitemap.xml,dc.law.utah.edu,digitalcommons,active,utah_law_review.json,1897,51,yes,sitemap,https://dc.law.utah.edu/ulr/
American University Law Review,https://aulawreview.org/by-volume/,aulawreview.org,wordpress,active,american-university-law-review.json,1851,52,yes,sitemap,
American University Law Review,https://aulawreview.org/,aulawreview.org,wordpress,active,american_university_law_review.json,1851,52,yes,sitemap,
American University Law Review,https://aulawreview.org/by-volume/,aulawreview.org,wordpress,active,registry_american_university_law_review_1851_ede9c5f8ce.json,1851,52,yes,sitemap,
Lewis & Clark Law Review,https://law.lclark.edu/law_reviews/lewis_and_clark_law_review/past_issues/,law.lclark.edu,livewhale,active,lewis_clark_law_review.json,555,53,yes,sitemap,
Connecticut Law Review,https://connecticutlawreview.law.uconn.edu/archive/print-edition-archive/,connecticutlawreview.law.uconn.edu,WordPress,,connecticut_law_review.json,1849,56,yes,sitemap,
Connecticut Law Review,https://connecticutlawreview.law.uconn.edu/archive/print-edition-archive/,connecticutlawreview.law.uconn.edu,unknown,,connecticutlawreview-law-uconn-edu.json,1849,56,yes,sitemap,
Connecticut Law Review,https://connecticutlawreview.law.uconn.edu/,connecticutlawreview.law.uconn.edu,wordpress,active,registry_connecticut_law_review_1849_83d55bb733.json,1849,56,yes,sitemap,
Maryland Law Review,https://digitalcommons.law.umaryland.edu/mlr/sitemap.xml,digitalcommons.law.umaryland.edu,digitalcommons,,maryland_law_review.json,1868,57,yes,sitemap,
Maryland Law Review,https://www.marylandlawreview.org/,marylandlawreview.org,Squarespace,active,marylandlawreview-org.json,1868,57,yes,sitemap,
Maryland Law Review,https://digitalcommons.law.umaryland.edu/mlr,digitalcommons.law.umaryland.edu,digital_commons,active,registry_maryland_law_review_1868_61252f8c7f.json,1868,57,yes,sitemap,
Washington and Lee Law Review,https://scholarlycommons.law.wlu.edu/wlulr/,scholarlycommons.law.wlu.edu,digitalcommons,,scholarlycommons-law-wlu-edu.json,1864,58,yes,sitemap,
Washington and Lee Law Review,https://lawreview.wlulaw.wlu.edu/,lawreview.wlulaw.wlu.edu,WordPress,,washington_and_lee_law_review.json,1864,58,yes,sitemap,
Washington and Lee Law Review,https://scholarlycommons.law.wlu.edu/wlulr/,scholarlycommons.law.wlu.edu,digitalcommons,active,wlu-law-review.json,1864,58,yes,sitemap,
Journal of Corporation Law,https://jcl.law.uiowa.edu/,jcl.law.uiowa.edu,unknown,,jcl-law-uiowa-edu.json,261,60,yes,sitemap,
Journal of Corporation Law,https://jcl.law.uiowa.edu/articles/,jcl.law.uiowa.edu,Law School Custom,,journal_of_corporation_law.json,261,60,yes,sitemap,
Journal of Corporation Law,https://jcl.law.uiowa.edu/issue-archive,jcl.law.uiowa.edu,drupal,active,registry_journal_of_corporation_law_261_93884a30c2.json,261,60,yes,sitemap,
University of Pennsylvania Journal of Business Law,https://www.pennlawbusinesslaw.com/,pennlawbusinesslaw.com,WordPress,active,pennlawbusinesslaw-com.json,527,61,yes,sitemap,
University of Pennsylvania Journal of Business Law,https://www.law.upenn.edu/journals/jbl,law.upenn.edu,unknown,active,registry_university_of_pennsylvania_journal_of_business_law_527_5eff0de766.json,527,61,yes,sitemap,
University of Pennsylvania Journal of Business Law,https://repository.law.upenn.edu/journal-of-business-law,repository.law.upenn.edu,Quartex,,university_of_pennsylvania_journal_of_business_law.json,527,61,yes,sitemap,
Buffalo Law Review,https://digitalcommons.law.buffalo.edu/buffalolawreview/sitemap.xml,digitalcommons.law.buffalo.edu,digitalcommons,todo_adapter,buffalo_law_review.json,1880,64,yes,sitemap,
Buffalo Law Review,https://digitalcommons.law.buffalo.edu/buffalolawreview,digitalcommons.law.buffalo.edu,digital_commons,todo_adapter,registry_buffalo_law_review_1880_84b8d0d985.json,1880,64,yes,sitemap,
American Journal of International Law,https://asil.org/resources/american-journal-international-law,asil.org,drupal,paused_login,registry_american_journal_of_international_law_1950_2927fdc6cc.json,1950,65,,sitemap,
asil.org,https://asil.org/resources/american-journal-international-law,asil.org,unknown,active,asil-org.json,1950,65,,sitemap,
Wake Forest Law Review,https://www.wakeforestlawreview.com/,wakeforestlawreview.com,WordPress,,wake_forest_law_review.json,1858,67,yes,sitemap,
Wake Forest Law Review,https://wakeforestlawreview.com/,wakeforestlawreview.com,WordPress,active,wakeforestlawreview-com.json,1858,67,yes,sitemap,
Harvard Civil Rights-Civil Liberties Law Review,https://harvardcrcl.org/,harvardcrcl.org,wordpress,active,harvardcrcl-org.json,1946,68,yes,sitemap,
Harvard Civil Rights-Civil Liberties Law Review,https://journals.law.harvard.edu/crcl/,journals.law.harvard.edu,wordpress,,journals-law-harvard-edu-crcl.json,1946,68,yes,sitemap,
Duke Journal of Constitutional Law & Public Policy,https://djclpp.law.duke.edu/,djclpp.law.duke.edu,WordPress,active,djclpp-law-duke-edu.json,1306,69,yes,sitemap,https://djclpp.law.duke.edu/
Duke Journal of Constitutional Law & Public Policy,https://scholarship.law.duke.edu/djclpp/sitemap.xml,scholarship.law.duke.edu,digitalcommons,,duke_journal_of_constitutional_law_public_policy.json,1306,69,yes,sitemap,
Duke Journal of Constitutional Law & Public Policy,https://scholarship.law.duke.edu/djclpp/,scholarship.law.duke.edu,wordpress,active,registry_duke_journal_of_constitutional_law_public_policy_1306_beb4bc0d85.json,1306,69,yes,sitemap,
Stanford Journal of Civil Rights and Civil Liberties,https://law.stanford.edu/stanford-journal-of-civil-rights-civil-liberties-sjcrcl/,law.stanford.edu,wordpress,,law-stanford-edu-crcl.json,979,70,,sitemap,
Stanford Journal of Civil Rights and Civil Liberties,https://law.stanford.edu/stanford-journal-of-civil-rights-civil-liberties-sjcrcl,law.stanford.edu,wordpress,active,registry_stanford_journal_of_civil_rights_and_civil_liberties_979_492ff6f1e7.json,979,70,,sitemap,
Houston Law Review,https://houstonlawreview.org/,houstonlawreview.org,WordPress,active,houstonlawreview-org.json,1862,71,yes,sitemap,
SMU Law Review,https://scholar.smu.edu/smulr,scholar.smu.edu,digital_commons,active,registry_smu_law_review_1872_fb5339dc1e.json,1872,72,yes,sitemap,
SMU Law Review,https://scholar.smu.edu/smulr/sitemap.xml,scholar.smu.edu,digitalcommons,active,smu_law_review.json,1872,72,yes,sitemap,
Arizona State Law Journal,https://arizonastatelawjournal.org/,arizonastatelawjournal.org,WordPress,,arizona_state_law_journal.json,1877,73,yes,sitemap,
Arizona State Law Journal,https://arizonastatelawjournal.org/,arizonastatelawjournal.org,wordpress,,arizonastatelawjournal-org.json,1877,73,yes,sitemap,
"Yale Journal of Health Policy, Law, and Ethics",https://yaleconnect.yale.edu/yjhple/archive,yaleconnect.yale.edu,unknown,active,registry_yale_journal_of_health_policy_law_and_ethics_686_96d6bc8e9f.json,686,74,yes,sitemap,
University of Colorado Law Review,https://lawreview.colorado.edu/,lawreview.colorado.edu,wordpress,active,colorado-law-review.json,1848,76,yes,sitemap,
University of Colorado Law Review,https://lawreview.colorado.edu/,lawreview.colorado.edu,WordPress,active,lawreview-colorado-edu.json,1848,76,yes,sitemap,
University of Colorado Law Review,https://lawreview.colorado.edu/,lawreview.colorado.edu,WordPress,,university_of_colorado_law_review.json,1848,76,yes,sitemap,
American Business Law Journal,https://onlinelibrary.wiley.com/journal/17441714,onlinelibrary.wiley.com,unknown,paused_paywall,registry_american_business_law_journal_193_e0b19c9ac4.json,193,77,,sitemap,
Law and Contemporary Problems,https://scholarship.law.duke.edu/lcp/sitemap.xml,scholarship.law.duke.edu,digitalcommons,,law_and_contemporary_problems.json,1954,79,yes,sitemap,
Law and Contemporary Problems,https://lcp.law.duke.edu/,lcp.law.duke.edu,wordpress,paused_paywall,registry_law_and_contemporary_problems_1954_ce518a5e65.json,1954,79,yes,sitemap,
lcp.law.duke.edu,https://lcp.law.duke.edu/,lcp.law.duke.edu,wordpress,active,lcp-law-duke-edu.json,1954,79,,sitemap,
Berkeley Technology Law Journal,https://btlj.org/,btlj.org,WordPress,,berkeley_technology_law_journal.json,161,80,yes,sitemap,
Berkeley Technology Law Journal,http://www.btlj.org/,btlj.org,wordpress,active,registry_berkeley_technology_law_journal_161_e988d4e07c.json,161,80,yes,sitemap,
BTLJ Commentaries,https://btlj.org/commentaries/,btlj.org,wordpress,,btlj-commentaries.json,161,80,,sitemap,
Harvard Law & Policy Review,https://journals.law.harvard.edu/lpr/,journals.law.harvard.edu,wordpress,active,harvard_law_policy_review.json,1387,81,yes,sitemap,
Harvard Law & Policy Review,https://journals.law.harvard.edu/lpr,journals.law.harvard.edu,wordpress,active,registry_harvard_law_policy_review_1387_7be4359eb2.json,1387,81,yes,sitemap,
Brooklyn Law Review,https://brooklynworks.brooklaw.edu/blr/sitemap.xml,brooklynworks.brooklaw.edu,digitalcommons,,brooklyn_law_review.json,1874,82,yes,sitemap,
Brooklyn Law Review,https://brooklynworks.brooklaw.edu/blr,brooklynworks.brooklaw.edu,digital_commons,active,registry_brooklyn_law_review_1874_f37df16222.json,1874,82,yes,sitemap,
Nevada Law Journal,https://scholars.law.unlv.edu/nlj/sitemap.xml,scholars.law.unlv.edu,digitalcommons,,nevada_law_journal.json,509,83,yes,sitemap,
Nevada Law Journal,https://law.unlv.edu/nevada-law-journal,law.unlv.edu,drupal,paused_waf,registry_nevada_law_journal_509_9bdf258d07.json,509,83,yes,sitemap,
Nevada Law Journal,https://scholars.law.unlv.edu/nlj/,scholars.law.unlv.edu,unknown,,scholars-law-unlv-edu.json,509,83,yes,sitemap,
Brigham Young University Law Review,https://digitalcommons.law.byu.edu/lawreview/sitemap.xml,digitalcommons.law.byu.edu,digitalcommons,,brigham_young_university_law_review.json,1884,84,yes,sitemap,
Brigham Young University Law Review,https://digitalcommons.law.byu.edu/lawreview,digitalcommons.law.byu.edu,digital_commons,active,registry_brigham_young_university_law_review_1884_9a8a6b72b4.json,1884,84,yes,sitemap,
Harvard International Law Journal,https://harvardilj.org/,harvardilj.org,wordpress,active,harvardilj-org.json,1956,85,yes,sitemap,
Harvard International Law Journal,https://journals.law.harvard.edu/ilj,journals.law.harvard.edu,wordpress,active,registry_harvard_international_law_journal_1956_eb87d46237.json,1956,85,yes,sitemap,
Columbia Human Rights Law Review,https://hrlr.law.columbia.edu/,hrlr.law.columbia.edu,WordPress,,columbia_human_rights_law_review.json,208,86,yes,sitemap,
